"Study","Url","Title","Info","Summary","Setting=Metastatic","Setting=Adjuvant","Setting=Neoadjuvant","Setting=Radiation","Setting=Window/Perioperative","Setting=PreOperative","Subtype=ER+","Subtype=ER- PR- HER2-","Subtype=HER2+","Subtype=Non-Invasive","Subtype=No records should match"
"Study name 1","https://www.jhu.edu/about/university-leadership/","Ut et tincidunt metus nullam eros himenaeos vestibulum. Lore","Sit, integer. Curabitur no","Text with special characters: ,,\4c#[Y~TWK",1,0,0,0,0,0,0,0,0,1,0
"Study name 2","https://www.jhu.edu/about/university-leadership/","Sed urna dignissim sapien in eu aliquam nec. Eu, mauris mauris eu facilis","Integer ullamcorper i","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~",0,1,0,0,0,0,1,0,0,0,0
"Study name 3","https://www.jhu.edu/about/notable-alumni/","Vestibulum neque maximus quis justo nibh primis. Ac ut natoque","Lacinia et, nibh dictum dictum","Text with special characters: ,,\4",0,0,0,1,0,0,0,0,0,1,0
"Study name 4","https://hub.jhu.edu/","Pharetra eu, ipsum porttitor eget ex sem netus? Vivamus, sapien tincidunt venenatis lacus","Commodo in et tortor","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG",0,0,0,0,0,1,1,0,0,0,0
"Study name 5","https://www.jhu.edu/about/","Porttitor pellentesque vitae egestas per, dictumst scelerisque habitasse ","Et sed posuere at tincidunt ti","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\Qq",0,1,0,0,0,0,0,1,0,0,0
"Study name 6","https://hub.jhu.edu/","Eleifend eu mattis finibus purus! Lacus dapibus ut","Ac venenatis in quis","Text with special characters: ,,\4c#",0,0,0,0,1,0,0,1,0,0,0
"Study name 7","https://hub.jhu.edu/","Ac duis sed egestas scelerisque tincidunt est rutrum. Ipsum non, pellentesque nec p","A tellus facilisis turpi","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF\$h5T%bNzZ",0,1,0,0,0,0,0,0,1,0,0
"Study name 8","https://www.jhu.edu/about/community/","Id pharetra massa eget, fu","Sed nullam sapien eu ","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5",0,0,0,0,1,0,0,0,0,1,0
"Study name 9","https://www.jhu.edu/about/community/","Morbi libero faucibus sagittis, ante ","Inceptos efficitur maximu","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF\$h5T%bNz",1,0,0,0,0,0,1,0,0,0,0
"Study name 10","https://www.jhu.edu/","In elementum amet imperdiet. Quis ut iaculis dictum amet at eu aliquam nulla","Varius ut nulla soll","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\",0,0,1,0,0,0,0,1,0,0,0
"Study name 11","https://www.jhu.edu/about/","Ullamcorper ultricies, vitae bibendum, risus ipsum hac. Facilisis diam quis nisl vestibulum pu","Sed aliquet gravida dui risus","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF\$h5T",0,0,0,0,0,1,0,0,1,0,0
"Study name 12","https://www.jhu.edu/about/","Leo scelerisque etiam ac aliquam nibh eget ac. Massa vel, varius volutpat sociis at vitae. Ne","Iaculis donec sapien v","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A",0,0,0,1,0,0,0,0,0,1,0
"Study name 13","https://www.jhu.edu/about/community/","Praesent cubilia, erat quam magna inceptos dolor primis, ac felis. Sce","Odio leo, mauris suscipit, e","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF\$h5T%b",0,0,0,1,0,0,0,0,0,1,0
"Study name 14","https://www.jhu.edu/about/history/","Dapibus, senectus sit purus vestibulum lacus conubia. Rhoncus dapibus elementum erat in malesu","Primis ante risus ornare, fini","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9",0,0,0,1,0,0,0,0,1,0,0
"Study name 15","https://www.jhu.edu/about/international/","Nibh odio elementum nisi sed. Sed, ut vestibulum eu sagittis massa","Eu a porttitor nibh ac susp","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.",0,0,0,1,0,0,0,0,0,1,0
"Study name 16","https://www.jhu.edu/about/history/","In sed, at himenaeos turpis egestas, molestie ridiculus facilisi ut lorem. Torquent ","Nostra ultricies. Con","Text with special characters: ,,\4c#[",0,1,0,1,0,0,0,1,0,1,0
"Study name 17","https://www.jhu.edu/about/community/","Vitae nibh laoreet vel sed ut massa lobortis facilisi sed, bibendum amet nullam. La","Imperdiet nisl elit ","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}",0,0,0,1,0,1,0,1,1,0,0
"Study name 18","https://hub.jhu.edu/","Donec sed in condimentum, non in mollis s","Sed hac, pellentesque","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_",0,0,0,1,1,0,0,0,1,1,0
"Study name 19","https://www.jhu.edu/about/history/","At, magnis fames praesent et iaculis. At, in taciti ve","Fusce consequat pellentesqu","Text with special characters: ,,\4",0,1,0,0,1,0,0,1,0,1,0
"Study name 20","https://www.jhu.edu/about/international/","Turpis fermentum, tincidunt morbi ante.","Arcu sed mauris eu sapi","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF",0,0,1,0,1,0,0,1,1,0,0
"Study name 21","https://hub.jhu.edu/","Interdum vel, dis convallis gravida convallis sollicitudin. Amet mus,","Fames eleifend lobortis aliq","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF\$h5T%bN",0,1,1,0,0,0,0,1,0,1,0
"Study name 22","https://www.jhu.edu/about/","In nulla facilisi torquent odio et. Efficitu","Finibus in ac, ante, non nis","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B",0,0,1,0,0,1,0,1,0,1,0
"Study name 23","https://www.jhu.edu/about/community/","Nascetur elit in inceptos mauris semper tempor augue. Phare","Sed, donec sed, sed inceptos","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQ",0,0,1,0,1,0,0,1,1,0,0
"Study name 24","https://www.jhu.edu/about/","Sollicitudin ultrices habita","Dictumst laoreet consectetur","Text with special characters: ,,",0,0,1,0,0,1,0,0,1,1,0
"Study name 25","https://www.jhu.edu/about/university-leadership/","Dictum dolor libero. In sem ridiculus, efficitur etiam nisl dignissim lectus pellentesq","Purus pellentesque a","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.",0,1,0,1,0,0,0,1,1,0,0
"Study name 26","https://www.jhu.edu/about/history/","Egestas commodo et commodo sed sollicitudin lorem sed. Nul","Justo orci lobortis platea b","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]",0,0,1,0,1,0,0,1,1,0,0
"Study name 27","https://www.jhu.edu/","Himenaeos et vel eu pl","Ipsum vehicula, feug","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A",1,1,1,1,1,1,1,1,1,1,0
"Study name 28","https://www.jhu.edu/about/history/","Cras cum aenean ridiculus sociosqu, pre","Tellus vel sit vitae rhoncus e","Text with special characters: ,,",1,1,1,1,1,1,1,1,1,1,0
"Study name 29","https://www.jhu.edu/about/international/","Ante metus, in sed. ","Proin sed amet sed porta ul","Text with special characters: ,,\4c#[Y~TWKzp8]6Bzg<eBQn&B{.}_XgG#t5]-A9~_kxhWj7@.\QqF\$h5T%bNz",1,1,1,1,1,1,1,1,1,1,0
"Study name 30","https://www.jhu.edu/about/university-leadership/","Sed, ligula ultrices molestie fusce od","Pretium lobortis hen","Text with special characters: ,,\4c#[Y~TWKzp8]",1,1,1,1,1,1,1,1,1,1,0
